,subject,task,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,correct,prob_span,fig_fn
58,23_IDM_0059,CRDM,0.963855422,0.575,0.38,0.9,3,26,43,8,36.82645494,0.165055507,4.167,1.018488631,1,-36.82645494,-55.45177444,79.65290989,82.41696316,0.335883201,0.825,0.996951156,23_IDM_0059/crdm/23_IDM_0059_crdm_model_fit.eps
59,23_IDM_0060,CRDM,0.963855422,0.7,0.68,0.733333333,2,10,50,18,47.78312352,1.234920575,0.311919988,0.272502268,0,-47.78312352,-55.45177444,101.566247,104.3303003,0.138294058,0.725,0.52557042,23_IDM_0060/crdm/23_IDM_0060_crdm_model_fit.eps
60,23_IDM_0061,CRDM,0.963855422,0.7875,0.76,0.833333333,0,0,8,72,15.69766855,4.052603781,0.818835085,0.446536392,0,-15.69766855,-55.45177444,37.3953371,40.15939037,0.716913143,0.9375,0.999169472,23_IDM_0061/crdm/23_IDM_0061_crdm_model_fit.eps
61,23_IDM_0062,CRDM,0.963855422,0.6625,0.7,0.6,1,23,18,38,13.27267473,4.751342993,0.307007851,0.503016949,0,-13.27267473,-55.45177444,32.54534945,35.30940272,0.760644725,0.9375,0.999907129,23_IDM_0062/crdm/23_IDM_0062_crdm_model_fit.eps
62,23_IDM_0063,CRDM,0.963855422,0.4,0.4,0.4,4,1,3,72,6.994579118,0.955812191,0.671185293,1.267884128,0,-6.994579118,-55.45177444,19.98915824,22.75321151,0.873861942,0.975,0.998339363,23_IDM_0063/crdm/23_IDM_0063_crdm_model_fit.eps
63,23_IDM_0064,CRDM,0.963855422,0.4625,0.5,0.4,5,7,19,49,27.0974279,0.9193617,0.028509599,0.790523371,0,-27.0974279,-55.45177444,60.1948558,62.95890907,0.511333439,0.9125,0.945553498,23_IDM_0064/crdm/23_IDM_0064_crdm_model_fit.eps
64,23_IDM_0065,CRDM,0.927710843,0.545454545,0.617021277,0.433333333,0,0,1,76,52.38910375,0.469387559,-2.696628454,0.125,1,-52.38910375,-53.3723329,110.7782075,113.4658183,0.018422076,0.597402597,0.261634792,23_IDM_0065/crdm/23_IDM_0065_crdm_model_fit.eps
65,23_IDM_0066,CRDM,0.963855422,0.675,0.76,0.533333333,0,5,22,53,29.00603486,2.848728918,-0.071976908,0.398552546,0,-29.00603486,-55.45177444,64.01206971,66.77612298,0.476914217,0.85,0.982458115,23_IDM_0066/crdm/23_IDM_0066_crdm_model_fit.eps
66,23_IDM_0067,CRDM,0.951807229,0.417721519,0.46,0.344827586,2,15,38,24,30.73590074,0.53514774,0.79016097,0.939627125,0,-30.73590074,-54.75862726,67.47180147,70.21069718,0.438702132,0.848101266,0.892095442,23_IDM_0067/crdm/23_IDM_0067_crdm_model_fit.eps
67,23_IDM_0068,CRDM,0.963855422,0.625,0.76,0.4,0,0,26,54,7.684346127,8,-0.647770172,0.422821353,1,-7.684346127,-55.45177444,21.36869225,24.13274552,0.861422899,0.95,0.999998754,23_IDM_0068/crdm/23_IDM_0068_crdm_model_fit.eps
68,23_IDM_0069,CRDM,0.951807229,0.392405063,0.42,0.344827586,0,1,1,77,43.91294651,0.190478944,0.286934159,0.932713741,0,-43.91294651,-54.75862726,93.82589302,96.56478872,0.198063416,0.772151899,0.668158973,23_IDM_0069/crdm/23_IDM_0069_crdm_model_fit.eps
69,23_IDM_0070,CRDM,0.963855422,0.6,0.58,0.633333333,0,14,6,60,24.55795383,1.554684279,0.744781584,0.695411215,0,-24.55795383,-55.45177444,55.11590765,57.87996092,0.557129523,0.875,0.984358525,23_IDM_0070/crdm/23_IDM_0070_crdm_model_fit.eps
70,23_IDM_0071,CRDM,0.963855422,0.925,0.88,1,1,5,3,71,2.202247107,8,4.068504601,0.253156107,1,-2.202247107,-55.45177444,10.40449421,13.16854748,0.960285363,1,0.984162173,23_IDM_0071/crdm/23_IDM_0071_crdm_model_fit.eps
71,23_IDM_0072,CRDM,0.963855422,0.5625,0.52,0.633333333,5,19,24,31,39.33587886,0.788766767,0.949797296,0.683296511,0,-39.33587886,-55.45177444,84.67175773,87.435811,0.290629033,0.7875,0.885025391,23_IDM_0072/crdm/23_IDM_0072_crdm_model_fit.eps
72,23_IDM_0073,CRDM,0.963855422,0.6375,0.74,0.466666667,0,15,14,51,17.08998445,4.260117637,-0.180394257,0.436615816,0,-17.08998445,-55.45177444,40.17996891,42.94402218,0.691804552,0.8625,0.999318338,23_IDM_0073/crdm/23_IDM_0073_crdm_model_fit.eps
73,23_IDM_0074,CRDM,0.963855422,0.6625,0.68,0.633333333,0,7,31,42,20.2957577,3.255008002,0.510364456,0.50554963,0,-20.2957577,-55.45177444,46.59151541,49.35556868,0.633992638,0.8875,0.998289224,23_IDM_0074/crdm/23_IDM_0074_crdm_model_fit.eps
74,23_IDM_0075,CRDM,0.951807229,0.329113924,0.46,0.103448276,1,6,35,37,33.17746301,0.532177427,-4.167,0.703956788,1,-33.17746301,-54.75862726,72.35492603,75.09382173,0.394114413,0.82278481,0.808073442,23_IDM_0075/crdm/23_IDM_0075_crdm_model_fit.eps
75,23_IDM_0076,CRDM,0.951807229,0.632911392,0.693877551,0.533333333,1,14,37,26,14.47979557,4.462940284,0.181037029,0.486148761,0,-14.47979557,-54.75862726,34.95959115,37.69848685,0.735570516,0.886075949,0.9997915,23_IDM_0076/crdm/23_IDM_0076_crdm_model_fit.eps
76,23_IDM_0077,CRDM,0.951807229,0.708860759,0.673469388,0.766666667,0,4,18,57,9.045169639,6.154870333,0.712477741,0.541843729,0,-9.045169639,-54.75862726,24.09033928,26.82923498,0.834817451,0.962025316,0.99999726,23_IDM_0077/crdm/23_IDM_0077_crdm_model_fit.eps
77,23_IDM_0078,CRDM,0.963855422,0.7875,0.78,0.8,11,4,12,52,13.40804436,8,0.143823928,0.359747918,1,-13.40804436,-55.45177444,32.81608871,35.58014198,0.758203511,0.9125,0.999960123,23_IDM_0078/crdm/23_IDM_0078_crdm_model_fit.eps
78,23_IDM_0079,CRDM,0.963855422,0.7125,0.74,0.666666667,12,7,22,39,22.66789205,3.70306762,0.321082288,0.416218043,0,-22.66789205,-55.45177444,51.33578409,54.09983736,0.591214307,0.8625,0.997165832,23_IDM_0079/crdm/23_IDM_0079_crdm_model_fit.eps
